name,category,parent_name,growth_form,current_seed,preferred_moisture_level,watering_amount,watering_pace,watering_notes,aliases,reference_url,ai_review,ai_review_reason,niwa_log_fit,household_gardening_relevance,source_quality,review_point,human_decision,human_note,planned_action
フィカス・ベンジャミナ,foliage,,tree,true,0.50,moderate,春秋: 表面乾いたらたっぷり／冬: 乾かし気味,環境変化に敏感で葉を落としやすい。設置場所は固定推奨。耐寒性弱く冬は室内。定期的な葉水推奨。,ベンジャミン; ベンジャミンゴム,https://www.hyponex.co.jp/plantia/plantia-13750/,KEEP,オフィス・店舗で定番の観葉,high,high,high,,,,
アグラオネマ,foliage,,herbaceous,true,0.50,moderate,春秋: 表面乾いたらたっぷり／冬: 乾き気味＋軽く霧吹き,高温多湿を好むが常時湿った状態はNG（少し乾き始めてからたっぷり）。耐陰性強い。葉水推奨。,,https://www.hyponex.co.jp/plantia/plantia-20273/,KEEP,高温多湿を好むが常時湿潤はNGという判断が必要,high,medium,high,,,,
クワズイモ,foliage,,herbaceous,true,0.50,moderate,春秋: 表面が乾いてきたらたっぷり／冬: 表面完全に乾いてから,湿度好むが常時湿った土は根腐れの原因。冬は霧吹きや葉拭きで湿度確保。樹液にシュウ酸を含み肌荒れに注意。,,https://www.kincho-engei.co.jp/cultivation/detail/5236/,KEEP,大型観葉として人気、水やり管理も明確,high,high,high,,,,
クロトン,foliage,,shrub,true,0.55,moderate,春秋: 表面が乾き始めたら／冬: 表面乾いて2〜3日後,鮮やかな葉色をキープするには乾燥を防ぎ葉水推奨。日光不足で葉色が褪せる。耐寒性弱く最低10℃キープ。,ヘンヨウボク,https://www.hyponex.co.jp/plantia/plantia-14549/,KEEP,葉色維持のための水管理という独自の価値提案あり,high,medium,high,,,,
コルジリネ,foliage,,tree,true,0.55,moderate,4〜10月: 表面乾いたら鉢底から流れるまで（7〜9月はほぼ毎日）／11〜3月: 週1〜2,生育旺盛な夏はほぼ毎日水やり。耐寒性弱く冬は5〜10℃をキープ。水はけの良い用土必須。,コルディリネ,https://www.hyponex.co.jp/plantia/plantia-16213/,KEEP,夏場ほぼ毎日という明確な季節変化あり,high,medium,high,,,,
テーブルヤシ,foliage,,tree,true,0.55,moderate,冬以外: 表面乾いたら鉢底から流れるまで／冬: 週1回程度,中南米原産の小型ヤシで耐陰性あり。多湿を好むため葉水は毎日推奨。夏は早朝か夕方に水やり。,チャメドレア,https://www.hyponex.co.jp/plantia/plantia-14211/,KEEP,小型ヤシの定番,high,medium,high,同系統植物（アレカヤシ）との管理差が小さい,,,
アレカヤシ,foliage,,tree,true,0.58,moderate,春秋: 表面が乾く前にたっぷり（葉先が茶色くなる）／冬: 完全に乾いてから,熱帯・亜熱帯性。乾燥すると葉先が茶色くなる。ヤシの中では寒さに弱く冬は室内。強い直射日光を嫌う。葉水推奨。,,https://www.hyponex.co.jp/garden_support/garden_support-269/,KEEP,乾燥で葉先が茶色くなるという分かりやすい失敗サインあり,high,medium,high,同系統植物（テーブルヤシ）との管理差が小さい,,,
ネフロレピス,foliage,,herbaceous,true,0.65,moderate,春秋: 表面が乾く前にたっぷり／冬: 乾かし気味＋葉水こまめ,シダ類で高温多湿を好む。夏の直射日光は葉焼け、遮光か半日陰で管理。冬でも空気乾燥を嫌い葉水必須。,タマシダ,https://www.hyponex.co.jp/garden_support/garden_support-200/,KEEP,シダ系代表、葉水の必要性を伝える好例,high,medium,high,,,,
マランタ,foliage,,herbaceous,true,0.68,moderate,春秋: 表面乾いたらたっぷり／夏: ほぼ毎日／冬: 表面乾いて数日後,湿度大好き（乾燥で葉がくるまる）。空気湿度不足時は葉水必須。夜に葉が立ち上がる就眠運動（プレイヤープラントの由来）。,プレイヤープラント,https://www.shuminoengei.jp/m-pc/a-page_p_detail/target_plant_code-468/target_tab-2,KEEP,就眠運動という話題性もあり、湿度管理の代表,high,medium,high,,,,
カラテア,foliage,,herbaceous,true,0.68,moderate,春秋: 表面がうっすら乾いたらたっぷり／夏: 朝夕1日2回／冬: 乾かし気味＋葉水こまめ,高温多湿を好み水不足で葉が丸まる。強日射で葉焼け、明るい日陰が理想。葉の模様が魅力の代表種。,,https://www.hyponex.co.jp/plantia/plantia-11653/,KEEP,模様の魅力で人気、高湿度要求が明確,high,high,high,,,,
アジアンタム,foliage,,herbaceous,true,0.72,moderate,常時湿度高めキープ／こまめな葉水必須／エアコン風は避ける,シダの中でも乾燥に極めて弱い。葉がチリチリになりやすいため葉水頻度が最重要。直射日光NG、明るい日陰。,ホウライシダ,https://www.hyponex.co.jp/plantia/plantia-9714/,KEEP,シダの中でも特に乾燥に弱く、niwa.logの警告価値が高い,high,medium,high,,,,
千日紅,flower,,herbaceous,true,0.28,light,鉢: 表面乾いたらたっぷり／地植え: 降雨任せ／夏は朝夕1回,暑さ・乾燥に強く長期間楽しめる。過湿に弱く肥料も与えすぎ注意。,センニチコウ; ゴンフレナ,https://www.hyponex.co.jp/plantia/6024/,KEEP,夏花壇の定番、乾燥に強い対比サンプルとしても有用,medium,high,high,,,,
カーネーション,flower,,herbaceous,true,0.30,light,表面乾燥してさらさらしてから鉢底から流れるまで／冬: 完全乾燥から2〜3日後,水やりすぎで根腐れ。花蕾に水がかかると病気やカビ。朝夕の涼しい時間帯に。,,https://www.hyponex.co.jp/plantia/plantia-14782/,KEEP,母の日ギフトで圧倒的知名度、鉢栽培中心,high,high,high,,,,
ラナンキュラス,flower,,herbaceous,true,0.30,light,乾燥気味／表面乾いたら／植えつけ直後は4〜5日水やらない,球根植物。加湿は球根腐りの原因。花びらは繊細で水がかかると傷む。,,https://www.hyponex.co.jp/plantia/plantia-7234/,KEEP,球根花の定番、加湿による球根腐りという明確な失敗例,high,high,high,,,,
コスモス,flower,,herbaceous,true,0.32,light,鉢: 表面乾燥後たっぷり／地植え: 降雨任せ,湿度高く暗い場所は苦手。肥料水与えすぎで倒れやすくなる。日当たり風通し良好が必須。,秋桜,https://www.hyponex.co.jp/plantia/plantia-15193/,KEEP,秋の代表花、地植え・鉢両方の需要あり,medium,high,high,,,,
ベゴニア,flower,,herbaceous,true,0.35,light,表面乾いてからたっぷり／冬: 乾いてから数日後,多湿苦手で水やりすぎで根腐れ。葉に水かけると傷み・病気。株元にそっと。,,https://www.hyponex.co.jp/plantia/plantia-7354/,KEEP,鉢花の定番、多湿注意という分かりやすい判断ポイント,high,high,high,,,,
ガーベラ,flower,,herbaceous,true,0.35,light,鉢: 表面乾いてから鉢底から流れるまで／地植え: 基本不要,過湿苦手で根腐れリスク。葉間に水たまると蒸れ・病気。株元へ与える。,,https://www.hyponex.co.jp/plantia/plantia-7245/,KEEP,切り花・鉢花双方で人気,high,high,high,,,,
ゼラニウム,flower,,herbaceous,true,0.42,moderate,土の表面が乾き始めたら／冬は表面が乾いてから3日ほど置いて,moisture_level 数値尺度の band 3 下端アンカー。「やや乾燥した土を好む」花もの。過湿に弱い。花に水がかからないよう株元に与える。梅雨は灰色かび病に注意。,,https://www.hyponex.co.jp/garden_support/garden_support-217/,KEEP,anchor植物。ベランダガーデニングの代表格,high,high,high,,,,
パンジー,flower,,herbaceous,true,0.42,moderate,表面乾いたらたっぷり／冬は午前中に,多湿嫌い。冬は午後の水やりで凍結リスク。日当たり風通し重要。,,https://www.hyponex.co.jp/plantia/plantia-9630/,KEEP,秋冬花壇の圧倒的定番,high,high,high,,,,
ビオラ,flower,,herbaceous,true,0.42,moderate,表面乾いたらたっぷり／冬は午前中に,パンジーとほぼ同管理。株が小型で開花期はより長い。日当たり重要。冬季戸外可。,,https://www.kincho-engei.co.jp/cultivation/detail/5185/,KEEP,パンジーとほぼ同一の管理だが独立商品として店頭に並ぶ超定番ペア。統合は非現実的なため両方維持,high,high,high,独立検索需要は高いが管理差は小さい（パンジー）,,,
マリーゴールド,flower,,herbaceous,true,0.42,moderate,表面乾いたらたっぷり／地植え: 降雨任せ／夏は朝たっぷり,水はけの良い土を好む。日照不足で徒長・花つき悪化。よく根が張り丈夫。,,https://www.hyponex.co.jp/plantia/plantia-8206/,KEEP,学校教育でも定番、認知度最高クラス,high,high,high,,,,
ジニア,flower,,herbaceous,true,0.42,moderate,鉢: 表面乾いてから／地植え: 降雨任せ／夏は朝夕2回も,過湿嫌い、常時湿った土は避ける。水切れは花色悪化。日光重要。,百日草; ヒャクニチソウ,https://www.hyponex.co.jp/plantia/study/3525,KEEP,家庭園芸の夏花壇定番,high,high,high,,,,
クリスマスローズ,flower,,herbaceous,true,0.42,moderate,10〜5月: 表面乾いてからたっぷり／6〜9月: 乾かし気味／地植えは基本不要,過湿嫌う。夏は休眠期で完全に乾かし気味に。冬は午前中の水やりで霜対策。多年草で耐寒性強い。,,https://www.hyponex.co.jp/plantia/plantia-6789/,KEEP,シェードガーデン人気種、夏季断水という明確な季節判断あり,high,medium,high,,,,
ペチュニア,flower,,herbaceous,true,0.48,moderate,鉢: 表面乾いたら鉢底から流れるまで／地植え: 乾燥時のみ／夏は朝夕に,乾燥嫌う。花に水かけない。雨で花傷むため軒下推奨。日当たり必須。サフィニア（サントリー改良品種）は管理準拠のため親レコードのみで扱う。,サフィニア,https://www.hyponex.co.jp/plantia/plantia-8181/,KEEP,サフィニアを統合済み、ベランダガーデニング代表格,high,high,high,,,,
サザンカ,flower,,shrub,true,0.50,moderate,植えつけから2年: たっぷり／根付き後鉢: 表面乾いたら／地植え: 降雨任せ,開花期は水切らさない。水はけ良く有機物多い土を好む。剪定は3〜4月。,山茶花,https://www.hyponex.co.jp/plantia/plantia-7434/,REVIEW,生垣・庭木としての認知度は高いが、成熟個体は地植え降雨任せで日常の水やり判断がほぼ発生しない,low,high,high,庭木としては一般的だがMVPスコープとの適合性が低い,,,
キンモクセイ,flower,,tree,true,0.50,moderate,地植え: 基本不要／鉢: 土乾いたら／夏は水切れ注意（花芽形成期）,夏の水切れは秋の開花不良の原因。水はけ良く栄養ある土を好む。剪定は早春（2〜4月）。,金木犀,https://www.hyponex.co.jp/plantia/plantia-13813/,REVIEW,地植えは基本不要の庭木代表。香り文化としての認知度は非常に高いが実用価値は低い,low,high,high,庭木としては一般的だがMVPスコープとの適合性が低い,,,
バラ,flower,,shrub,true,0.55,moderate,鉢: 春秋1日1回、真夏朝夕2回／冬: 土乾いたら朝に,生育旺盛な春〜初夏は水切れ注意。水やりすぎで根腐れも。適切な鉢サイズ（6〜7号から）で徐々に大きく。,ローズ,https://www.hyponex.co.jp/plantia/plantia-14290/,KEEP,子分類2種を追加済み。愛好家人口・専門メディアの厚みからflowerの主要ジャンルとして必須,high,high,high,大ジャンルとして過少代表だったため子分類を追加（本セッション対応済み）,,,
ミニバラ,flower,バラ,shrub,true,0.58,moderate,鉢: 土の表面が乾いたら午前中に株元へたっぷり（花に水をかけない）,鉢植え中心で栽培される小型品種。根鉢が小さいため一度乾かすと枯死しやすい一方、過湿は根腐れの原因。乾燥・病害虫の影響を受けやすくこまめな観察が必要。,,https://www.hyponex.co.jp/garden_support/garden_support-129/,KEEP,鉢植え中心・小さい根鉢で水切れ管理がシビア、本セッションで追加,high,high,high,,,,
つるバラ,flower,バラ,vine,true,0.55,moderate,鉢: 土の表面が乾いたら午前中にたっぷり（開花期はほぼ毎日、真夏は朝夕2回）／地植え: 根づいた後は降雨中心で乾燥時のみ,木立ちバラ（つる状に仕立てない通常のバラ）とは異なりつる状に伸びる仕立てのため growth_form は vine。地植えで根づいた株は乾燥に強く降雨中心で足りるが、鉢植えは開花期（4〜8月）にほぼ毎日の水やりが必要。,クライミングローズ,https://www.hyponex.co.jp/plantia/plantia-20306/,KEEP,growth_form=vineで親と明確に区別、本セッションで追加,high,high,high,,,,
ダリア,flower,,herbaceous,true,0.55,moderate,鉢: 表面乾いたら鉢底から流れるまで／地植え: 極度乾燥時のみ／夏は朝夕,球根植物。常時湿状態は球根腐りの原因。植えつけ後は発芽まで水やらない。次々開花で追肥重要。,,https://www.hyponex.co.jp/plantia/plantia-15355/,KEEP,球根花の代表、次々開花で追肥・水管理の判断が続く,high,high,high,,,,
サルビア,flower,,herbaceous,true,0.55,moderate,表面が乾き始めたらたっぷり／早朝に,水枯れに弱く水足りないと下葉が枯れる。過湿も根腐れ原因。夏の強日光・西日は苦手。,,https://www.hyponex.co.jp/plantia/plantia-8527/,KEEP,夏花壇の代表格,high,high,high,,,,
ケイトウ,flower,,herbaceous,true,0.55,moderate,毎日たっぷり／夏は朝夕2回／苗育成期は乾燥させない,苗育成期は乾燥厳禁。過湿による根腐れも注意。日光要求性高い。,鶏頭,https://www.hyponex.co.jp/plantia/plantia-13856/,KEEP,学校教育・家庭園芸双方の定番,high,high,high,,,,
シクラメン,flower,,herbaceous,true,0.55,moderate,底面給水: 鉢皿の水切らさない／通常鉢: 土に静かに注ぐ／花や球根に直接NG,底面給水鉢が主流。2週に1度は上から給水し老廃物流す。花・球根上部への水は病気の原因。9〜5月開花期は肥料週1。,,https://www.hyponex.co.jp/plantia/plantia-7363/,KEEP,冬ギフト鉢花の代表、底面給水という独自の管理形態がniwa.log向き,high,high,high,,,,
ツバキ,flower,,tree,true,0.55,moderate,鉢夏: 朝夕毎日／春秋: 1〜2日に1回／冬: 土乾いたら／地植え: 猛暑時のみ,乾燥・強い西日で葉焼け。水はけ良く有機物多い酸性土を好む。冬は蕾・枝を寒風から守る。,椿,https://www.hyponex.co.jp/plantia/plantia-13816/,REVIEW,地植えは猛暑時のみの庭木代表。文化的重要性は高いが実用価値は低い,low,high,high,庭木としては一般的だがMVPスコープとの適合性が低い,,,
チューリップ,flower,,herbaceous,true,0.55,moderate,植えつけ時: たっぷり／発芽後: 土乾いたら十分に／花後: 葉が枯れるまで継続,秋植え春咲きの球根。過湿嫌うが水も好む。植えつけ時に球根の向きを揃える（平らな面を外向き）。,,https://www.hyponex.co.jp/plantia/plantia-9072/,KEEP,春の球根花の代表格、圧倒的な認知度,high,high,high,,,,
ヒマワリ,flower,,herbaceous,true,0.60,moderate,発芽〜生育初期: 乾燥させない／開花期は朝晩2回たっぷり,根が浅く乾燥がすぐ影響する。株元に敷きワラ推奨。日当たり必須で日照不足だと徒長。,向日葵,https://www.hyponex.co.jp/plantia/plantia-13403/,KEEP,学校教育で必ず登場、根が浅く乾燥影響が大きい典型例,high,high,high,,,,
インパチェンス,flower,,herbaceous,true,0.60,moderate,鉢: 表面乾き始めたらたっぷり／夏は朝夕1回ずつ／地植えは乾燥時のみ,乾燥苦手で水切れ注意。花に水かけると病気の原因。半日陰でも育つ。,,https://www.hyponex.co.jp/garden_support/garden_support-265/,KEEP,半日陰花壇の定番、水切れ判断が明確,high,high,high,,,,
サツキ,flower,,shrub,true,0.60,moderate,鉢夏: 朝夕2回鉢底から流れるまで／それ以外: 土乾く前に／地植え: 降雨任せ,乾燥に弱く川辺自生の湿潤好み。水もち＋水はけの土を好む。真夏の直射日光は避ける。,皐月,https://www.hyponex.co.jp/plantia/plantia-15471/,REVIEW,地植え降雨任せの庭木代表。植木としての定番性は高いが実用価値は低い,low,high,high,庭木としては一般的だがMVPスコープとの適合性が低い,,,
朝顔,flower,,vine,true,0.65,moderate,開花期: 毎日朝晩たっぷり／発芽期: 乾燥させない,乾燥で花つき悪化、水切れ厳禁。ただし過湿も根腐れ。朝夕の涼しい時間帯に。日照必須（不足でつるばかり伸びる）。,アサガオ,https://www.hyponex.co.jp/plantia/plantia-6374/,KEEP,学校教育の代表、開花期は毎日朝晩の水やりが必須という強い判断ポイント,high,high,high,,,,
アジサイ,flower,,shrub,true,0.72,heavy,土の表面が乾いたらすぐ（夏は朝夕2回も）／地植えは乾燥時のみ補水,moisture_level 数値尺度の band 4 中間〜上端アンカー。「乾燥を苦手」「水切れしやすい」。鉢植えは「表面が乾いたら底から流れ出すまでたっぷり」。夏の水切れに特に注意。株元マルチングで乾燥防止効果あり。,,https://www.hyponex.co.jp/garden_support/garden_support-273/,KEEP,anchor植物。ギフト鉢の需要が高く鉢では日次の水切れが起きやすい,high,high,high,,,,
ジャガイモ,vegetable,,herbaceous,true,0.28,light,地植え: 基本不要／プランター: 前期は乾いたら、後期は乾き気味／芽出しまで水やり不要,乾き気味の土を好む。水与えすぎで腐りやすい。芽が出た後は表土白っぽく乾いたら水やり。芽かき・土寄せが成功のポイント。,じゃがいも; 馬鈴薯,https://www.hyponex.co.jp/plantia/7303/,KEEP,家庭菜園の入門定番、Issue #6の家庭菜園ユーザー重視方針に合致,medium,high,high,,,,
サツマイモ,vegetable,,vine,true,0.28,light,植えつけ直後1週間: たっぷり／以降: 基本不要（乾燥時のみ）,過湿嫌う。植えつけ後は基本水やり不要。葉がしおれたらたっぷり。つる返し（地上のつるから根が生えないように）が管理のコツ。,さつまいも; かんしょ,https://www.hyponex.co.jp/plantia/plantia-10115/,REVIEW,植えつけ後は基本不要で水やり判断がほぼ発生しない。つる性で場所も取りベランダ向きではない,low,high,high,成熟後は水やり支援価値が低い,,,
ネギ,vegetable,,herbaceous,true,0.30,light,発芽まで: 乾かさない／発芽後: 基本水やり不要（極端な乾燥時のみ）,発芽後は極端に乾燥するとき以外水やり不要。葉がぐったりしおれない限り水やり不要。土寄せが植えつけ後2〜3週から複数回必要。,長ネギ; 葉ネギ,https://www.hyponex.co.jp/plantia/plantia-13738/,REVIEW,発芽後は基本水やり不要で水やり判断がほぼ発生しない,low,high,high,成熟後は水やり支援価値が低い,,,
タマネギ,vegetable,,herbaceous,true,0.35,light,植えつけ後たっぷり／少々乾燥気味に／冬越し後: 土が乾き過ぎないよう毎日,多湿に弱い。冬に長晴天時は昼間の水やりで凍結防止。「浅植え」が基本。,玉ねぎ,https://www.hyponex.co.jp/plantia/plantia-5665/,KEEP,冬越し後の凍結防止水やりなど季節的な判断ポイントがある,medium,high,high,,,,
トマト,vegetable,,herbaceous,true,0.42,moderate,実がなるまで: 控えめ／実がなり始め: 十分に／色づいたら: 控えめ／朝に,「肥料過多より水分過多に注意」。露地は基本降雨任せ、毎日たっぷりは根が浅くなり弱い株に。プランターは底から流れるまで。梅雨は軒下推奨。,,https://www.hyponex.co.jp/plantia/plantia-8231/,KEEP,家庭菜園の代表格、生育ステージ別の水管理が最も語られる野菜の一つ,high,high,high,,,,
ミニトマト,vegetable,,herbaceous,true,0.42,moderate,実がなるまで: 控えめ／実がなり始め: 十分に／色づいたら: やや控えめ／朝に,通常のトマトと同管理。梅雨は軒下推奨。色づき始めたら水控えめで甘さアップ。プランター栽培に向く。,,https://www.hyponex.co.jp/plantia/plantia-14423/,KEEP,ベランダ菜園の入門定番として独立需要が高い,high,high,high,,,,
ホウレンソウ,vegetable,,herbaceous,true,0.42,moderate,発芽まで: 乾燥させない／以降: 表面乾いたら／冬: 控えめ午前中に,冷涼な気候好み、暑さ苦手で秋まき冬採りが基本。酸性土に弱く苦土石灰で中和。生長早く1〜2ヶ月で収穫。,法蓮草,https://www.hyponex.co.jp/plantia/plantia-9258/,KEEP,葉物の代表、プランター栽培でも人気,medium,high,high,,,,
レタス,vegetable,,herbaceous,true,0.45,moderate,土乾いたら／水切れ注意／過湿は根腐れ,十分な水必要だが多湿に弱い。梅雨時は雨よけ推奨。植えつけ時期は春秋。約2〜3ヶ月で収穫。外葉から順次収穫可。,リーフレタス,https://www.hyponex.co.jp/plantia/plantia-10064/,KEEP,葉物の代表、プランター栽培でも人気,medium,high,high,,,,
キャベツ,vegetable,,herbaceous,true,0.45,moderate,発芽まで: たっぷり／以降: 表面乾いたらたっぷり／結球期: 加湿に注意,過湿嫌い、水はけの良い土を好む。結球期に加湿すると球が中心から割れやすい。深く根を張る。,,https://www.hyponex.co.jp/plantia/plantia-6594/,KEEP,家庭菜園の定番,medium,high,high,,,,
ブロッコリー,vegetable,,herbaceous,true,0.45,moderate,植えつけ後1週間: 乾燥させすぎない／以降: 表面乾いたら株元にたっぷり,過湿・湿害に弱い。水はけ良い状態が必須。地植えは畝を高く。冷涼気候（15〜20℃）が生育適温。,,https://www.hyponex.co.jp/plantia/plantia-9102/,KEEP,家庭菜園で人気上昇中、加湿注意という判断ポイントあり,medium,high,high,,,,
ダイコン,vegetable,,herbaceous,true,0.48,moderate,発芽まで: 乾かさない／以降: 表面乾いたらたっぷり／根肥大期: 水切れ厳禁,根肥大時に水不足だと根が破裂する。冷涼気候好み。通気性・保水性・排水性のバランスが良い土が理想。,大根,https://www.hyponex.co.jp/plantia/plantia-13174/,KEEP,家庭菜園の代表格、根肥大期の水切れ厳禁という明確な判断ポイントあり,medium,high,high,,,,
ニンジン,vegetable,,herbaceous,true,0.48,moderate,発芽まで: 乾燥厳禁でこまめに／発芽後: 表面乾いたら,種は極小で発芽まで水分管理が最重要。ジョウロで優しく散水（勢いよいと種流れる）。土をかけすぎ厳禁（日光不足で発芽しない）。,人参,https://www.hyponex.co.jp/plantia/plantia-13544/,KEEP,発芽までの水分管理が特に重要という明確な判断ポイントあり,medium,high,high,,,,
コマツナ,vegetable,,herbaceous,true,0.50,moderate,発芽まで: 乾かさない／以降: 1日1回、夏は朝夕2回,種まきから1ヶ月で収穫可能な速成野菜。関東以西は3〜10月が種まき適期。虫よけに不織布かぶせ推奨。,小松菜,https://www.hyponex.co.jp/plantia/plantia-13794/,KEEP,速成野菜としてプランター栽培の人気が高い,high,high,high,,,,
ピーマン,vegetable,,herbaceous,true,0.50,moderate,植えつけ後1週間: 毎日たっぷり／以降: 表面乾いたらたっぷり／夏: 朝夕2回も,過湿にも弱く根腐れ注意。4〜6月は1〜3日に1回、7〜8月中旬は1〜4日に1〜2回。高温乾燥期の水切れ注意。,,https://www.hyponex.co.jp/plantia/plantia-11292/,KEEP,家庭菜園代表格、過湿・乾燥両方のリスクがある,high,high,high,,,,
パプリカ,vegetable,,herbaceous,true,0.55,moderate,植えつけ直後: 控えめ／株生長後: 表面乾いたらたっぷり／夏は朝夕,水分をたくさん必要とする。水不足で株勢弱まり実つき悪化。ピーマンより繊細で栽培難易度高い。着色まで長期間必要。,,https://www.hyponex.co.jp/plantia/plantia-15007/,KEEP,ピーマンより水を多く必要とし明確な差別化あり,high,high,high,,,,
キュウリ,vegetable,,vine,true,0.68,moderate,5〜6月: 1日1回／7〜9月中旬: 1日1〜2回／夏場は朝夕2回も,根が浅く広く張り過湿・乾燥ともに弱い。水分と肥料多く必要。不足で実が曲がり大きくならない。排水性・通気性重視。,,https://www.hyponex.co.jp/plantia/plantia-10303/,KEEP,家庭菜園代表格、水分要求が非常に高くniwa.log向き,high,high,high,,,,
ナス,vegetable,,herbaceous,true,0.72,heavy,5〜6月: 1日1回／7〜9月中旬: 1日1〜2回／夏朝夕2回／梅雨明け以降は水多いほど良い,「ナスは水で作る」と言われるほど水好み。水不足で株弱り花・実つき悪化。株元にワラ・マルチで乾燥対策。高温多湿に強く育てやすい。,茄子,https://www.hyponex.co.jp/plantia/plantia-13026/,KEEP,ナスは水で作るというほど水管理が重要視される代表野菜,high,high,high,,,,
イチゴ,fruit,,,false,,,,,,,ADD_CANDIDATE,Issue #6本文がgrowth_form例として使用しているにも関わらず未収録。プランター・鉢栽培が標準で根が浅く水切れに敏感、家庭園芸で最も定番の果物の一つ,high,high,unresearched,現在seedに存在しない主要候補,,,
ハイビスカス,flower,,,false,,,,,,,ADD_CANDIDATE,夏の鉢花として圧倒的な流通量。水切れで葉が目に見えてしおれる典型植物で「今日水やる/やらない」判断の教科書的存在,high,high,unresearched,現在seedに存在しない主要候補,,,
ゴーヤ,vegetable,,,false,,,,,ニガウリ,,ADD_CANDIDATE,緑のカーテン文化で夏の代表野菜。水分要求が高くベランダ・プランター需要も高い,high,high,unresearched,現在seedに存在しない主要候補,,,
金のなる木,succulent,,,false,,,,,クラッスラ,,ADD_CANDIDATE,縁起物として家庭保有率が非常に高い定番多肉。現行succulentは分類上の広がりはあるが最もポピュラーな一種が抜けている,,high,unresearched,現在seedに存在しない主要候補,,,
ゴムノキ,foliage,,,false,,,,,フィカス・エラスティカ,,ADD_CANDIDATE,観葉植物の古典的代表格。フィカス属はウンベラータ・ベンジャミナを収録済みだが最も歴史的に定番のエラスティカが抜けている,,high,unresearched,現在seedに存在しない主要候補,,,
